Date,Total Sales,Sales_Billions,MoM Pct (%),MoM_Abs,YoY_Growth_%,Forecast
2021-01-01,2723737272.0,2.723737272,,,,
2021-02-01,3172727172.0,3.172727172,16.48,448989900.0,,
2021-03-01,3717272662.0,3.717272662,17.16,544545490.0,,
2021-04-01,4128182882.0,4.128182882,11.05,410910220.0,,
2021-05-01,4624950577.0,4.624950577,12.03,496767695.0,,
2021-06-01,5100738809.0,5.100738809,10.29,475788232.0,,
2021-07-01,5576527041.0,5.576527041,9.33,475788232.0,,
2021-08-01,6052315273.0,6.052315273,8.53,475788232.0,,
2021-09-01,6528103505.0,6.528103505,7.86,475788232.0,,
2021-10-01,7003891737.0,7.003891737,7.29,475788232.0,,
2021-11-01,7479679969.0,7.479679969,6.79,475788232.0,,
2021-12-01,7955468201.0,7.955468201,6.36,475788232.0,,
2022-01-01,8431256433.0,8.431256433,5.98,475788232.0,209.55,
2022-02-01,8907044665.0,8.907044665,5.64,475788232.0,180.74,
2022-03-01,9382832897.0,9.382832897,5.34,475788232.0,152.41,
2022-04-01,9858621129.0,9.858621129,5.07,475788232.0,138.81,
2022-05-01,10334409361.0,10.334409361,4.83,475788232.0,123.45,
2022-06-01,10810197593.0,10.810197593,4.6,475788232.0,111.93,
2022-07-01,11285985825.0,11.285985825,4.4,475788232.0,102.38,
2022-08-01,11761774057.0,11.761774057,4.22,475788232.0,94.34,
2022-09-01,12237562289.0,12.237562289,4.05,475788232.0,87.46,
2022-10-01,12713350521.0,12.713350521,3.89,475788232.0,81.52,
2022-11-01,13189138753.0,13.189138753,3.74,475788232.0,76.33,
2022-12-01,13664926985.0,13.664926985,3.61,475788232.0,71.77,
2023-01-01,14140715217.0,14.140715217,3.48,475788232.0,67.72,
2023-02-01,14616503449.0,14.616503449,3.36,475788232.0,64.1,
2023-03-01,15092291681.0,15.092291681,3.26,475788232.0,60.85,
2023-04-01,15568079913.0,15.568079913,3.15,475788232.0,57.91,
2023-05-01,16043868145.0,16.043868145,3.06,475788232.0,55.25,
2023-06-01,16519656377.0,16.519656377,2.97,475788232.0,52.82,
2023-07-01,16995444609.0,16.995444609,2.88,475788232.0,50.59,
2023-08-01,17471232841.0,17.471232841,2.8,475788232.0,48.54,
2023-09-01,17947021073.0,17.947021073,2.72,475788232.0,46.66,
2023-10-01,18422809305.0,18.422809305,2.65,475788232.0,44.91,
2023-11-01,18898597537.0,18.898597537,2.58,475788232.0,43.29,
2023-12-01,19374385769.0,19.374385769,2.52,475788232.0,41.78,
2024-01-01,19850174001.0,19.850174001,2.46,475788232.0,40.38,
2024-02-01,20325962233.0,20.325962233,2.4,475788232.0,39.06,
2024-03-01,20801750465.0,20.801750465,2.34,475788232.0,37.83,
2024-04-01,21277538697.0,21.277538697,2.29,475788232.0,36.67,
2024-05-01,21753326929.0,21.753326929,2.24,475788232.0,35.59,
2024-06-01,22229115161.0,22.229115161,2.19,475788232.0,34.56,
2024-07-01,22704903393.0,22.704903393,2.14,475788232.0,33.59,
2024-08-01,23180691625.0,23.180691625,2.1,475788232.0,32.68,
2024-09-01,23656479857.0,23.656479857,2.05,475788232.0,31.81,
2024-10-01,24132268089.0,24.132268089,2.01,475788232.0,30.99,
2024-11-01,24608056321.0,24.608056321,1.97,475788232.0,30.21,
2024-12-01,25083844553.0,25.083844553,1.93,475788232.0,29.47,
2025-01-01,25559632785.0,25.559632785,1.9,475788232.0,28.76,
2025-02-01,26035421017.0,26.035421017,1.86,475788232.0,28.09,
2025-03-01,26511209249.0,26.511209249,1.83,475788232.0,27.45,
2025-04-01,26986997481.0,26.986997481,1.79,475788232.0,26.83,
2025-05-01,27462785713.0,27.462785713,1.76,475788232.0,26.25,
2025-06-01,27938573945.0,27.938573945,1.73,475788232.0,25.68,
2025-07-01,28414362177.0,28.414362177,1.7,475788232.0,25.15,
2025-08-01,28890150409.0,28.890150409,1.67,475788232.0,24.63,
2025-09-01,29365938641.0,29.365938641,1.65,475788232.0,24.13,
2025-10-01,29841726873.0,29.841726873,1.62,475788232.0,23.66,
2025-11-01,30317515105.0,30.317515105,1.59,475788232.0,23.2,
2025-12-01,30793303337.0,30.793303337,1.57,475788232.0,22.76,
2026-01-01,,,,,,31269091569.0
2026-02-01,,,,,,31744879801.0
2026-03-01,,,,,,32220668033.0
2026-04-01,,,,,,32696456265.0
2026-05-01,,,,,,33172244497.0
2026-06-01,,,,,,33648032729.0
2026-07-01,,,,,,34123820961.0
2026-08-01,,,,,,34599609193.0
2026-09-01,,,,,,35075397425.0
2026-10-01,,,,,,35551185657.0
2026-11-01,,,,,,36026973889.0
2026-12-01,,,,,,36502762121.0
